Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Customer chatatau send message to vehicle owner in menu My Booking,,,2018-11-14 14:55:06,2018-11-14 14:57:14,2m - 7.438s,PASSED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2018-11-14 14:55:08,2018-11-14 14:56:27,1m - 18.978s,PASSED
startApplication,,Open apps on phone,2018-11-14 14:55:09,2018-11-14 14:55:59,49.804s,PASSED
tap,,Tap button next,2018-11-14 14:55:59,2018-11-14 14:56:05,6.482s,PASSED
Statement - For (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2018-11-14 14:56:05,2018-11-14 14:56:08,2.609s,PASSED
tap,,Tap button skip,2018-11-14 14:56:08,2018-11-14 14:56:10,2.217s,PASSED
tap,,Tap button login,2018-11-14 14:56:10,2018-11-14 14:56:12,1.606s,PASSED
setText,,Input email user,2018-11-14 14:56:12,2018-11-14 14:56:13,1.307s,PASSED
tap,,Tap button next,2018-11-14 14:56:13,2018-11-14 14:56:16,2.714s,PASSED
setText,,Input password user,2018-11-14 14:56:16,2018-11-14 14:56:17,1.158s,PASSED
delay,,,2018-11-14 14:56:17,2018-11-14 14:56:18,1.070s,PASSED
hideKeyboard,,Hide keyboard on phone,2018-11-14 14:56:18,2018-11-14 14:56:20,2.041s,PASSED
tap,,Submit form dan redirect ke homepage,2018-11-14 14:56:20,2018-11-14 14:56:22,1.611s,PASSED
delay,,,2018-11-14 14:56:22,2018-11-14 14:56:27,5.004s,PASSED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC12 Search - My Booking,,,2018-11-14 14:56:27,2018-11-14 14:56:38,11.471s,PASSED
callTestCase,,,2018-11-14 14:56:27,2018-11-14 14:56:27,0.002s,NOT_RUN
tap,,Tab my bookings,2018-11-14 14:56:27,2018-11-14 14:56:30,2.409s,PASSED
setText,,Search my bookings,2018-11-14 14:56:30,2018-11-14 14:56:32,1.924s,PASSED
tap,,Tap icon search,2018-11-14 14:56:32,2018-11-14 14:56:33,1.514s,PASSED
delay,,,2018-11-14 14:56:33,2018-11-14 14:56:38,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC14 Booking Details - My Booking,,,2018-11-14 14:56:38,2018-11-14 14:56:58,19.514s,PASSED
callTestCase,,,2018-11-14 14:56:39,2018-11-14 14:56:39,0.001s,NOT_RUN
tap,,Select my bookings,2018-11-14 14:56:39,2018-11-14 14:56:42,3.189s,PASSED
tap,,View status details,2018-11-14 14:56:42,2018-11-14 14:56:43,1.500s,PASSED
tap,,Tap arrow left untuk back ke booking details,2018-11-14 14:56:43,2018-11-14 14:56:46,3.059s,PASSED
scrollToText,,Scroll to payment,2018-11-14 14:56:46,2018-11-14 14:56:50,4.030s,PASSED
tap,,Tap price details,2018-11-14 14:56:50,2018-11-14 14:56:52,1.042s,PASSED
scrollToText,,Scroll to total price,2018-11-14 14:56:52,2018-11-14 14:56:53,1.013s,PASSED
delay,,,2018-11-14 14:56:53,2018-11-14 14:56:58,5.004s,PASSED
tap,,Tap arrow left untuk back ke page my bookings,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
tap,,Tab history my booking,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
clearText,,,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
setText,,Search history my bookings,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
tap,,Tap icon search,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
tap,,Select my bookings,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
tap,,View status details,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
tap,,Tap arrow left untuk back ke booking details,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
scrollToText,,Scroll to payment,2018-11-14 14:56:58,2018-11-14 14:56:58,0.003s,NOT_RUN
tap,,Tap price details,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
scrollToText,,Scroll to total price,2018-11-14 14:56:58,2018-11-14 14:56:58,0.002s,NOT_RUN
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC16 Send message to owner My Booking,,,2018-11-14 14:56:58,2018-11-14 14:57:12,14.028s,PASSED
callTestCase,,,2018-11-14 14:56:58,2018-11-14 14:56:58,0.003s,NOT_RUN
tap,,Tap button message to owner dan menampilkan page chatting,2018-11-14 14:56:58,2018-11-14 14:57:00,1.242s,PASSED
tap,,,2018-11-14 14:57:00,2018-11-14 14:57:03,3.168s,PASSED
setText,,,2018-11-14 14:57:03,2018-11-14 14:57:05,1.698s,PASSED
tap,,,2018-11-14 14:57:05,2018-11-14 14:57:07,2.083s,PASSED
delay,,,2018-11-14 14:57:07,2018-11-14 14:57:12,5.002s,PASSED
