Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search and edit Owned Cars by Owner,,,2018-11-19 14:28:42,2018-11-19 14:32:05,3m - 23.318s,PASSED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2018-11-19 14:28:43,2018-11-19 14:30:00,1m - 16.576s,PASSED
startApplication,,Open apps on phone,2018-11-19 14:28:44,2018-11-19 14:29:33,48.514s,PASSED
tap,,Tap button next,2018-11-19 14:29:33,2018-11-19 14:29:37,4.632s,PASSED
Statement - For (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2018-11-19 14:29:37,2018-11-19 14:29:40,2.741s,PASSED
tap,,Tap button skip,2018-11-19 14:29:40,2018-11-19 14:29:42,2.320s,PASSED
tap,,Tap button login,2018-11-19 14:29:42,2018-11-19 14:29:44,1.671s,PASSED
setText,,Input email user,2018-11-19 14:29:44,2018-11-19 14:29:45,1.269s,PASSED
tap,,Tap button next,2018-11-19 14:29:45,2018-11-19 14:29:48,2.551s,PASSED
setText,,Input password user,2018-11-19 14:29:48,2018-11-19 14:29:50,1.951s,PASSED
delay,,,2018-11-19 14:29:50,2018-11-19 14:29:51,1.082s,PASSED
hideKeyboard,,Hide keyboard on phone,2018-11-19 14:29:51,2018-11-19 14:29:53,1.955s,PASSED
tap,,Submit form dan redirect ke homepage,2018-11-19 14:29:53,2018-11-19 14:29:55,1.694s,PASSED
delay,,,2018-11-19 14:29:55,2018-11-19 14:30:00,5.004s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC02 Search Car - My Cars,,,2018-11-19 14:30:00,2018-11-19 14:30:11,11.799s,PASSED
callTestCase,,,2018-11-19 14:30:00,2018-11-19 14:30:00,0.009s,NOT_RUN
tap,,Tap tab my cars,2018-11-19 14:30:00,2018-11-19 14:30:02,1.725s,PASSED
setText,,Mencari car by name,2018-11-19 14:30:02,2018-11-19 14:30:04,2.170s,PASSED
tap,,Tap button search,2018-11-19 14:30:04,2018-11-19 14:30:06,2.125s,PASSED
delay,,,2018-11-19 14:30:06,2018-11-19 14:30:11,5.003s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC04 Edit Car - My Cars,,,2018-11-19 14:30:11,2018-11-19 14:32:03,1m - 51.661s,PASSED
callTestCase,,,2018-11-19 14:30:12,2018-11-19 14:30:12,0.003s,NOT_RUN
tap,,Tap tab my cars,2018-11-19 14:30:12,2018-11-19 14:30:12,0.001s,NOT_RUN
tap,,Tap icon menu titik 3,2018-11-19 14:30:12,2018-11-19 14:30:14,1.823s,PASSED
tap,,Tap menu edit,2018-11-19 14:30:14,2018-11-19 14:30:16,2.167s,PASSED
tap,,Edit car details,2018-11-19 14:30:16,2018-11-19 14:30:18,1.754s,PASSED
