Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login dan Become Owner,Chrome 67.0.3396.87,,2018-06-26 11:19:51,2018-06-26 11:21:22,1m - 31.355s,FAILED
,,,,,,
Test Cases/Front-End/User/SC99 Regression/TC04 Login Biasa with email,Chrome 67.0.3396.87,,2018-06-26 11:19:51,2018-06-26 11:20:48,56.697s,PASSED
openBrowser,Chrome 67.0.3396.87,Buka browser,2018-06-26 11:19:52,2018-06-26 11:19:57,5.240s,PASSED
maximizeWindow,Chrome 67.0.3396.87,Maximize window,2018-06-26 11:19:57,2018-06-26 11:19:59,2.147s,PASSED
navigateToUrl,Chrome 67.0.3396.87,Akses Url,2018-06-26 11:19:59,2018-06-26 11:20:32,33.099s,PASSED
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-26 11:20:32,2018-06-26 11:20:33,1.076s,PASSED
click,Chrome 67.0.3396.87,Klik menu 'Masuk',2018-06-26 11:20:33,2018-06-26 11:20:35,2.119s,PASSED
setText,Chrome 67.0.3396.87,Input email\r\n,2018-06-26 11:20:35,2018-06-26 11:20:39,4.210s,PASSED
setText,Chrome 67.0.3396.87,Input password,2018-06-26 11:20:39,2018-06-26 11:20:44,4.122s,PASSED
click,Chrome 67.0.3396.87,Klik tombol 'Masuk',2018-06-26 11:20:44,2018-06-26 11:20:46,2.091s,PASSED
verifyElementVisible,Chrome 67.0.3396.87,"Verifikasi popup \""Success\"" Visible",2018-06-26 11:20:46,2018-06-26 11:20:48,2.051s,PASSED
,,,,,,
Test Cases/Front-End/Owner/SC01 Validasi Photo/TC06 Upload menggunakan gallery,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:21:20,32.455s,FAILED
openBrowser,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.001s,NOT_RUN
maximizeWindow,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.001s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.004s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.001s,NOT_RUN
click,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.000s,NOT_RUN
setText,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.002s,NOT_RUN
setText,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.001s,NOT_RUN
click,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:48,0.001s,NOT_RUN
delay,Chrome 67.0.3396.87,,2018-06-26 11:20:48,2018-06-26 11:20:51,3.022s,PASSED
refresh,Chrome 67.0.3396.87,,2018-06-26 11:20:51,2018-06-26 11:21:07,16.416s,PASSED
click,Chrome 67.0.3396.87,,2018-06-26 11:21:07,2018-06-26 11:21:10,2.150s,PASSED
click,Chrome 67.0.3396.87,,2018-06-26 11:21:10,2018-06-26 11:21:12,2.122s,PASSED
delay,Chrome 67.0.3396.87,,2018-06-26 11:21:12,2018-06-26 11:21:15,3.001s,PASSED
scrollToElement,Chrome 67.0.3396.87,,2018-06-26 11:21:15,2018-06-26 11:21:17,2.032s,PASSED
WebUICustomKeyword.uploadFile,Chrome 67.0.3396.87,,2018-06-26 11:21:17,2018-06-26 11:21:20,3.375s,FAILED
