Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search and Set available Owned Cars by Owner,,,2018-11-21 15:59:29,2018-11-21 16:10:12,10m - 43.074s,PASSED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2018-11-21 15:59:30,2018-11-21 16:00:57,1m - 26.915s,PASSED
startApplication,,Open apps on phone,2018-11-21 15:59:32,2018-11-21 16:00:30,58.112s,PASSED
tap,,Tap button next,2018-11-21 16:00:30,2018-11-21 16:00:35,4.806s,PASSED
Statement - For (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2018-11-21 16:00:35,2018-11-21 16:00:38,2.757s,PASSED
tap,,Tap button skip,2018-11-21 16:00:38,2018-11-21 16:00:40,2.388s,PASSED
tap,,Tap button login,2018-11-21 16:00:40,2018-11-21 16:00:42,1.652s,PASSED
setText,,Input email user,2018-11-21 16:00:42,2018-11-21 16:00:43,1.315s,PASSED
tap,,Tap button next,2018-11-21 16:00:43,2018-11-21 16:00:46,2.753s,PASSED
setText,,Input password user,2018-11-21 16:00:46,2018-11-21 16:00:47,1.262s,PASSED
delay,,,2018-11-21 16:00:47,2018-11-21 16:00:48,1.149s,PASSED
hideKeyboard,,Hide keyboard on phone,2018-11-21 16:00:48,2018-11-21 16:00:50,2.202s,PASSED
tap,,Submit form dan redirect ke homepage,2018-11-21 16:00:50,2018-11-21 16:00:52,1.888s,PASSED
delay,,,2018-11-21 16:00:52,2018-11-21 16:00:57,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC02 Search Car - My Cars,,,2018-11-21 16:00:57,2018-11-21 16:08:39,7m - 42.098s,PASSED
callTestCase,,,2018-11-21 16:00:58,2018-11-21 16:00:58,0.004s,NOT_RUN
tap,,Tap tab my cars,2018-11-21 16:00:58,2018-11-21 16:02:20,1m - 21.310s,PASSED
delay,,,2018-11-21 16:02:20,2018-11-21 16:02:25,5.004s,PASSED
setText,,Mencari car by name,2018-11-21 16:02:25,2018-11-21 16:07:08,4m - 43.654s,PASSED
delay,,,2018-11-21 16:07:08,2018-11-21 16:07:13,5.004s,PASSED
tap,,Tap button search,2018-11-21 16:07:13,2018-11-21 16:08:34,1m - 21.135s,PASSED
delay,,,2018-11-21 16:08:34,2018-11-21 16:08:39,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Product/SC99 Regression/TC09 Set available - My Cars,,,2018-11-21 16:08:40,2018-11-21 16:10:10,1m - 30.280s,PASSED
callTestCase,,,2018-11-21 16:08:40,2018-11-21 16:08:40,0.002s,NOT_RUN
tap,,Tap tab my cars,2018-11-21 16:08:40,2018-11-21 16:08:40,0.003s,NOT_RUN
tap,,Tap icon menu titik 3,2018-11-21 16:08:40,2018-11-21 16:09:53,1m - 12.291s,PASSED
tap,,Select menu set available,2018-11-21 16:09:53,2018-11-21 16:09:54,1.377s,PASSED
tap,,Tap konfirmasi ok,2018-11-21 16:09:54,2018-11-21 16:10:05,10.609s,PASSED
delay,,,2018-11-21 16:10:05,2018-11-21 16:10:10,5.003s,PASSED
