Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reservasi mobil melalui pencarian lebih lanjut di homepage,Chrome 70.0.3538.102,,2018-11-14 14:10:55,2018-11-14 14:15:42,4m - 46.599s,PASSED
,,,,,,
Test Cases/Front-End/User/SC99 Regression/TC04 Login Biasa with email,Chrome 70.0.3538.102,,2018-11-14 14:10:56,2018-11-14 14:12:31,1m - 34.459s,PASSED
openBrowser,Chrome 70.0.3538.102,Buka browser,2018-11-14 14:10:57,2018-11-14 14:11:22,24.817s,PASSED
maximizeWindow,Chrome 70.0.3538.102,Maximize window,2018-11-14 14:11:22,2018-11-14 14:11:23,1.223s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Akses Url,2018-11-14 14:11:23,2018-11-14 14:12:16,52.941s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-14 14:12:16,2018-11-14 14:12:17,0.700s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 14:12:17,2018-11-14 14:12:17,0.565s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:17,2018-11-14 14:12:20,3.034s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 14:12:20,2018-11-14 14:12:20,0.004s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:20,2018-11-14 14:12:20,0.008s,NOT_RUN
setText,Chrome 70.0.3538.102,,2018-11-14 14:12:20,2018-11-14 14:12:21,0.828s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:21,2018-11-14 14:12:24,3.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 14:12:24,2018-11-14 14:12:25,0.431s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:25,2018-11-14 14:12:28,3.003s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 14:12:28,2018-11-14 14:12:28,0.382s,PASSED
verifyElementVisible,Chrome 70.0.3538.102,"Verifikasi popup ""Success"" Visible",2018-11-14 14:12:28,2018-11-14 14:12:29,0.729s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:29,2018-11-14 14:12:31,2.086s,PASSED
,,,,,,
Test Cases/Front-End/Homepage/SC99 Regression/TC02 Cari mobil menggunakan fitur pencarian lebih lanjut,Chrome 70.0.3538.102,,2018-11-14 14:12:31,2018-11-14 14:13:06,35.065s,PASSED
setText,Chrome 70.0.3538.102,Masukkan Field Search,2018-11-14 14:12:32,2018-11-14 14:12:35,3.543s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:35,2018-11-14 14:12:37,2.009s,PASSED
click,Chrome 70.0.3538.102,Pilih Opsi Kota,2018-11-14 14:12:37,2018-11-14 14:12:38,0.372s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:38,2018-11-14 14:12:40,2.018s,PASSED
click,Chrome 70.0.3538.102,Pilih Tanggal Awal,2018-11-14 14:12:40,2018-11-14 14:12:40,0.324s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:40,2018-11-14 14:12:42,2.009s,PASSED
click,Chrome 70.0.3538.102,Pilih Tanggal Akhir,2018-11-14 14:12:42,2018-11-14 14:12:42,0.257s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:42,2018-11-14 14:12:44,2.011s,PASSED
click,Chrome 70.0.3538.102,Pilih Car Only,2018-11-14 14:12:44,2018-11-14 14:12:44,0.284s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:44,2018-11-14 14:12:46,2.010s,PASSED
click,Chrome 70.0.3538.102,Klik Button Pencarian Lebih lanjut,2018-11-14 14:12:46,2018-11-14 14:12:47,0.228s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:47,2018-11-14 14:12:49,2.007s,PASSED
setText,Chrome 70.0.3538.102,Input Harga Start,2018-11-14 14:12:49,2018-11-14 14:12:49,0.283s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:49,2018-11-14 14:12:51,2.007s,PASSED
setText,Chrome 70.0.3538.102,Input Harga Akhir,2018-11-14 14:12:51,2018-11-14 14:12:51,0.261s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:51,2018-11-14 14:12:51,0.001s,NOT_RUN
click,Chrome 70.0.3538.102,Pilih Plat Nomor 'Genap',2018-11-14 14:12:51,2018-11-14 14:12:51,0.001s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:51,2018-11-14 14:12:53,2.006s,PASSED
click,Chrome 70.0.3538.102,Pilih Fasilitas 'Car Insurance',2018-11-14 14:12:53,2018-11-14 14:12:54,0.276s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:54,2018-11-14 14:12:56,2.009s,PASSED
click,Chrome 70.0.3538.102,Pilih Rating 5,2018-11-14 14:12:56,2018-11-14 14:12:56,0.311s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:56,2018-11-14 14:12:58,2.010s,PASSED
click,Chrome 70.0.3538.102,Klik button Cari,2018-11-14 14:12:58,2018-11-14 14:12:58,0.556s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:12:58,2018-11-14 14:13:00,2.008s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 14:13:00,2018-11-14 14:13:01,0.410s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:13:01,2018-11-14 14:13:06,5.002s,PASSED
,,,,,,
Test Cases/Front-End/Booking/SC99 Regression/TC01 Reservasi mobil,Chrome 70.0.3538.102,,2018-11-14 14:13:06,2018-11-14 14:13:29,23.157s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:13:06,2018-11-14 14:13:08,2.004s,PASSED
scrollToPosition,Chrome 70.0.3538.102,Scroll kebawah,2018-11-14 14:13:08,2018-11-14 14:13:08,0.075s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:13:08,2018-11-14 14:13:10,2.003s,PASSED
click,Chrome 70.0.3538.102,Klik Pilih Paket pada salah satu Paket,2018-11-14 14:13:10,2018-11-14 14:13:11,0.302s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:13:11,2018-11-14 14:13:13,2.002s,PASSED
click,Chrome 70.0.3538.102,Klik Button Pesan Sekarang,2018-11-14 14:13:13,2018-11-14 14:13:13,0.173s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 14:13:13,2018-11-14 14:13:15,2.001s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-14 14:13:15,2018-11-14 14:13:15,0.088s,PASSED
