Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User owner menambahkan data mobil kemudian melakukan perubahan harga (Kondisi harga tanpa driver),Chrome 70.0.3538.102,,2018-11-16 09:57:20,2018-11-16 10:02:53,5m - 32.706s,FAILED
,,,,,,
Test Cases/Front-End/User/SC99 Regression/TC12 Login Sebagai Owner,Chrome 70.0.3538.102,,2018-11-16 09:57:21,2018-11-16 09:59:23,2m - 1.929s,PASSED
openBrowser,Chrome 70.0.3538.102,Buka Browser,2018-11-16 09:57:22,2018-11-16 09:57:35,13.505s,PASSED
maximizeWindow,Chrome 70.0.3538.102,Maximize Window,2018-11-16 09:57:35,2018-11-16 09:57:37,1.199s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Akses Url,2018-11-16 09:57:37,2018-11-16 09:58:42,1m - 5.437s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-16 09:58:42,2018-11-16 09:58:43,0.992s,PASSED
click,Chrome 70.0.3538.102,Klik textlink Masuk,2018-11-16 09:58:43,2018-11-16 09:58:45,2.474s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:58:45,2018-11-16 09:58:49,3.033s,PASSED
setText,Chrome 70.0.3538.102,Input Email,2018-11-16 09:58:49,2018-11-16 09:58:50,1.780s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:58:50,2018-11-16 09:58:53,3.006s,PASSED
setText,Chrome 70.0.3538.102,Input Password,2018-11-16 09:58:53,2018-11-16 09:58:54,0.419s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:58:54,2018-11-16 09:58:57,3.004s,PASSED
click,Chrome 70.0.3538.102,Klik button Masuk,2018-11-16 09:58:57,2018-11-16 09:58:57,0.456s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:58:57,2018-11-16 09:59:00,3.003s,PASSED
click,Chrome 70.0.3538.102,Klik Switch to Owner,2018-11-16 09:59:00,2018-11-16 09:59:20,19.854s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:20,2018-11-16 09:59:23,3.002s,PASSED
,,,,,,
Test Cases/Front-End/Product/SC99 Regression/TC02 Tambah data mobil,Chrome 70.0.3538.102,,2018-11-16 09:59:23,2018-11-16 10:01:51,2m - 27.820s,FAILED
openBrowser,Chrome 70.0.3538.102,Buka Browser,2018-11-16 09:59:24,2018-11-16 09:59:24,0.003s,NOT_RUN
maximizeWindow,Chrome 70.0.3538.102,Maximize Window,2018-11-16 09:59:24,2018-11-16 09:59:24,0.002s,NOT_RUN
navigateToUrl,Chrome 70.0.3538.102,Akses Url,2018-11-16 09:59:24,2018-11-16 09:59:24,0.001s,NOT_RUN
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-16 09:59:24,2018-11-16 09:59:24,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,Klik textlink Masuk,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
setText,Chrome 70.0.3538.102,Input Email,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
setEncryptedText,Chrome 70.0.3538.102,Input Password,2018-11-16 09:59:24,2018-11-16 09:59:24,0.014s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
click,Chrome 70.0.3538.102,Klik button Masuk,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
click,Chrome 70.0.3538.102,Klik Switch to Owner,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:24,2018-11-16 09:59:24,0.000s,NOT_RUN
click,Chrome 70.0.3538.102,Klik Menu Kendaraan Saya,2018-11-16 09:59:24,2018-11-16 09:59:25,0.857s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:25,2018-11-16 09:59:28,3.003s,PASSED
click,Chrome 70.0.3538.102,Klik Button Tambah Mobil,2018-11-16 09:59:28,2018-11-16 09:59:29,0.925s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:29,2018-11-16 09:59:32,3.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,Input Merk Mobil Mercedez Benz,2018-11-16 09:59:32,2018-11-16 09:59:33,0.720s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-16 09:59:33,2018-11-16 09:59:36,3.004s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,Input Model Sport Class,2018-11-16 09:59:36,2018-11-16 09:59:36,0.379s,PASSED
