Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reservation From Click Image Section Available Near Me,,,2018-11-13 14:19:03,2018-11-13 14:22:30,3m - 27.179s,PASSED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2018-11-13 14:19:04,2018-11-13 14:20:20,1m - 16.826s,PASSED
startApplication,,Open apps on phone,2018-11-13 14:19:05,2018-11-13 14:19:54,49.267s,PASSED
tap,,Tap button next,2018-11-13 14:19:54,2018-11-13 14:19:59,4.582s,PASSED
Statement - For (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2018-11-13 14:19:59,2018-11-13 14:20:02,2.722s,PASSED
tap,,Tap button skip,2018-11-13 14:20:02,2018-11-13 14:20:04,2.283s,PASSED
tap,,Tap button login,2018-11-13 14:20:04,2018-11-13 14:20:05,1.626s,PASSED
setText,,Input email user,2018-11-13 14:20:05,2018-11-13 14:20:07,1.301s,PASSED
tap,,Tap button next,2018-11-13 14:20:07,2018-11-13 14:20:09,2.675s,PASSED
setText,,Input password user,2018-11-13 14:20:09,2018-11-13 14:20:11,1.203s,PASSED
delay,,,2018-11-13 14:20:11,2018-11-13 14:20:12,1.063s,PASSED
hideKeyboard,,Hide keyboard on phone,2018-11-13 14:20:12,2018-11-13 14:20:14,2.026s,PASSED
tap,,Submit form dan redirect ke homepage,2018-11-13 14:20:14,2018-11-13 14:20:15,1.720s,PASSED
delay,,,2018-11-13 14:20:15,2018-11-13 14:20:20,5.011s,PASSED
,,,,,,
Test Cases/Mobile/Android/Homepage/SC99 Regression/TC08 View detail car available near me,,,2018-11-13 14:20:20,2018-11-13 14:20:32,11.810s,PASSED
callTestCase,,,2018-11-13 14:20:21,2018-11-13 14:20:21,0.004s,NOT_RUN
delay,,Scroll ke part car available near me dan slide car,2018-11-13 14:20:21,2018-11-13 14:20:26,5.005s,PASSED
tap,,Select car,2018-11-13 14:20:26,2018-11-13 14:20:27,1.181s,PASSED
delay,,,2018-11-13 14:20:27,2018-11-13 14:20:32,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC15 Select car from list cars,,,2018-11-13 14:20:32,2018-11-13 14:21:26,53.695s,PASSED
callTestCase,,,2018-11-13 14:20:33,2018-11-13 14:20:33,0.002s,NOT_RUN
tap,,Select car yang ada di list of cars,2018-11-13 14:20:33,2018-11-13 14:20:33,0.002s,NOT_RUN
tap,,Check packages,2018-11-13 14:20:33,2018-11-13 14:20:35,1.727s,PASSED
tap,,Membuat reservasi,2018-11-13 14:20:35,2018-11-13 14:20:45,10.293s,PASSED
scrollToText,,Scroll to text add additional benefits,2018-11-13 14:20:45,2018-11-13 14:20:46,1.286s,PASSED
tap,,Edit additional benefits,2018-11-13 14:20:46,2018-11-13 14:20:48,1.601s,PASSED
tap,,Checklist life insurance,2018-11-13 14:20:48,2018-11-13 14:20:49,1.094s,PASSED
tap,,Tap arrow right untuk menampilkan life insurance by astralife,2018-11-13 14:20:49,2018-11-13 14:20:51,1.680s,PASSED
tap,,Menyimpan contact life insurance,2018-11-13 14:20:51,2018-11-13 14:20:52,1.500s,PASSED
tap,,Menyetujui additional benefits,2018-11-13 14:20:52,2018-11-13 14:20:54,1.420s,PASSED
tap,,Tap untuk menampilkan jam,2018-11-13 14:20:54,2018-11-13 14:20:56,2.492s,PASSED
delay,,Select time,2018-11-13 14:20:56,2018-11-13 14:21:01,5.003s,PASSED
tap,,Submit jam,2018-11-13 14:21:01,2018-11-13 14:21:02,1.141s,PASSED
tap,,Pick up location,2018-11-13 14:21:02,2018-11-13 14:21:04,1.850s,PASSED
delay,,Delay untuk load maps sesuai titik yang ditentukan,2018-11-13 14:21:04,2018-11-13 14:21:09,5.004s,PASSED
tap,,Mengkonfirmasi lokasi pick up,2018-11-13 14:21:09,2018-11-13 14:21:11,1.812s,PASSED
tap,,Return location,2018-11-13 14:21:11,2018-11-13 14:21:13,1.673s,PASSED
delay,,Delay untuk load maps sesuai titik yang ditentukan,2018-11-13 14:21:13,2018-11-13 14:21:18,5.003s,PASSED
tap,,Mengkonfirmasi lokasi return ,2018-11-13 14:21:18,2018-11-13 14:21:19,1.845s,PASSED
tap,,Continue reserve,2018-11-13 14:21:19,2018-11-13 14:21:21,1.628s,PASSED
delay,,,2018-11-13 14:21:21,2018-11-13 14:21:26,5.001s,PASSED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC09 Rules,,,2018-11-13 14:21:26,2018-11-13 14:21:30,3.856s,PASSED
callTestCase,,,2018-11-13 14:21:27,2018-11-13 14:21:27,0.002s,NOT_RUN
tap,,Menampilkan informasi yang ada di tab cancellation policy,2018-11-13 14:21:27,2018-11-13 14:21:28,1.315s,PASSED
tap,,Menyetujui segala ketentuan rules yang tertera,2018-11-13 14:21:28,2018-11-13 14:21:30,2.009s,PASSED
tap,,,2018-11-13 14:21:30,2018-11-13 14:21:30,0.001s,NOT_RUN
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC01 Pay - Payment,,,2018-11-13 14:21:30,2018-11-13 14:21:38,8.207s,PASSED
callTestCase,,,2018-11-13 14:21:30,2018-11-13 14:21:30,0.002s,NOT_RUN
tap,,,2018-11-13 14:21:30,2018-11-13 14:21:30,0.002s,NOT_RUN
tap,,Mulai melakukan pembayaran,2018-11-13 14:21:30,2018-11-13 14:21:32,1.338s,PASSED
tap,,Konfirmasi pembayaran,2018-11-13 14:21:32,2018-11-13 14:21:33,1.285s,PASSED
delay,,,2018-11-13 14:21:33,2018-11-13 14:21:38,5.003s,PASSED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC04 Select payment methode,,,2018-11-13 14:21:38,2018-11-13 14:21:45,7.000s,PASSED
callTestCase,,,2018-11-13 14:21:39,2018-11-13 14:21:39,0.002s,NOT_RUN
tap,,Menampilkan option payment,2018-11-13 14:21:39,2018-11-13 14:21:40,1.498s,PASSED
delay,,,2018-11-13 14:21:40,2018-11-13 14:21:45,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC05 Credit card payment,,,2018-11-13 14:21:45,2018-11-13 14:22:30,44.717s,PASSED
callTestCase,,,2018-11-13 14:21:46,2018-11-13 14:21:46,0.002s,NOT_RUN
tap,,Pilih metode pembayaran credit card,2018-11-13 14:21:46,2018-11-13 14:21:47,1.324s,PASSED
delay,,Scroll to field identitas credit card,2018-11-13 14:21:47,2018-11-13 14:21:52,5.002s,PASSED
tap,,Credit card number,2018-11-13 14:21:52,2018-11-13 14:22:03,10.348s,PASSED
setText,,Input card number,2018-11-13 14:22:03,2018-11-13 14:22:03,0.712s,PASSED
tap,,Full name credit card,2018-11-13 14:22:03,2018-11-13 14:22:07,4.105s,PASSED
setText,,Input full name,2018-11-13 14:22:07,2018-11-13 14:22:08,0.812s,PASSED
tap,,Month credit card,2018-11-13 14:22:08,2018-11-13 14:22:10,1.913s,PASSED
setText,,Input month,2018-11-13 14:22:10,2018-11-13 14:22:11,0.767s,PASSED
tap,,Year credit card,2018-11-13 14:22:11,2018-11-13 14:22:12,1.582s,PASSED
setText,,Input year,2018-11-13 14:22:12,2018-11-13 14:22:13,0.722s,PASSED
tap,,Cvc credit card,2018-11-13 14:22:13,2018-11-13 14:22:15,2.155s,PASSED
setText,,Input cvc,2018-11-13 14:22:15,2018-11-13 14:22:16,0.792s,PASSED
tap,,Email credit card,2018-11-13 14:22:16,2018-11-13 14:22:18,2.024s,PASSED
setText,,Input email pemilik credit card,2018-11-13 14:22:18,2018-11-13 14:22:19,0.786s,PASSED
tap,,Tap checkbox simpan data kartu kredit anda (terenkripsi),2018-11-13 14:22:19,2018-11-13 14:22:20,1.577s,PASSED
tap,,Melakukan pembayaran by credit card,2018-11-13 14:22:20,2018-11-13 14:22:22,1.899s,PASSED
delay,,,2018-11-13 14:22:22,2018-11-13 14:22:27,5.004s,PASSED
closeApplication,,,2018-11-13 14:22:27,2018-11-13 14:22:30,2.398s,PASSED
