Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login dan Become Owner,Chrome 66.0.3359.181,,2018-06-06 17:05:42,2018-06-06 17:07:04,1m - 21.713s,FAILED
,,,,,,
Test Cases/Front-End/Owner/SC01 Validasi Photo/TC06 Upload menggunakan gallery,Chrome 66.0.3359.181,,2018-06-06 17:05:43,2018-06-06 17:06:31,47.460s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-06-06 17:05:44,2018-06-06 17:05:49,4.878s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-06-06 17:05:49,2018-06-06 17:05:50,1.268s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-06-06 17:05:50,2018-06-06 17:06:08,17.950s,PASSED
click,Chrome 66.0.3359.181,,2018-06-06 17:06:08,2018-06-06 17:06:08,0.299s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-06 17:06:08,2018-06-06 17:06:09,0.622s,PASSED
setText,Chrome 66.0.3359.181,,2018-06-06 17:06:09,2018-06-06 17:06:09,0.432s,PASSED
click,Chrome 66.0.3359.181,,2018-06-06 17:06:09,2018-06-06 17:06:10,0.254s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-06 17:06:10,2018-06-06 17:06:13,3.055s,PASSED
click,Chrome 66.0.3359.181,,2018-06-06 17:06:13,2018-06-06 17:06:13,0.259s,PASSED
click,Chrome 66.0.3359.181,,2018-06-06 17:06:13,2018-06-06 17:06:13,0.329s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-06 17:06:13,2018-06-06 17:06:16,3.003s,PASSED
WebUICustomKeyword.uploadFile,Chrome 66.0.3359.181,,2018-06-06 17:06:16,2018-06-06 17:06:17,0.738s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-06 17:06:17,2018-06-06 17:06:20,3.007s,PASSED
WebUICustomKeyword.uploadFile,Chrome 66.0.3359.181,,2018-06-06 17:06:20,2018-06-06 17:06:20,0.193s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-06 17:06:20,2018-06-06 17:06:25,5.008s,PASSED
WebUICustomKeyword.uploadFile,Chrome 66.0.3359.181,,2018-06-06 17:06:25,2018-06-06 17:06:25,0.220s,PASSED
delay,Chrome 66.0.3359.181,,2018-06-06 17:06:25,2018-06-06 17:06:30,5.005s,PASSED
click,Chrome 66.0.3359.181,,2018-06-06 17:06:30,2018-06-06 17:06:31,0.194s,PASSED
,,,,,,
Test Cases/Front-End/Owner/SC02 Validasi Rental Name/TC01 Kosongkan nama rental,Chrome 66.0.3359.181,,2018-06-06 17:06:31,2018-06-06 17:07:03,32.388s,FAILED
setText,Chrome 66.0.3359.181,,2018-06-06 17:06:31,2018-06-06 17:06:32,0.401s,PASSED
WebUICustomKeyword.uploadFile,Chrome 66.0.3359.181,,2018-06-06 17:06:32,2018-06-06 17:07:03,31.542s,FAILED
