Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Owner search and return car from an order,,,2018-11-19 13:05:07,2018-11-19 13:07:13,2m - 5.869s,PASSED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2018-11-19 13:05:08,2018-11-19 13:06:45,1m - 37.022s,PASSED
startApplication,,Open apps on phone,2018-11-19 13:05:09,2018-11-19 13:06:18,1m - 8.518s,PASSED
tap,,Tap button next,2018-11-19 13:06:18,2018-11-19 13:06:22,4.353s,PASSED
Statement - For (def index : (1..2)),,Tap button arrow next untuk baca tutorial,2018-11-19 13:06:22,2018-11-19 13:06:25,2.889s,PASSED
tap,,Tap button skip,2018-11-19 13:06:25,2018-11-19 13:06:27,2.454s,PASSED
tap,,Tap button login,2018-11-19 13:06:27,2018-11-19 13:06:29,1.691s,PASSED
setText,,Input email user,2018-11-19 13:06:29,2018-11-19 13:06:31,1.497s,PASSED
tap,,Tap button next,2018-11-19 13:06:31,2018-11-19 13:06:33,2.891s,PASSED
setText,,Input password user,2018-11-19 13:06:33,2018-11-19 13:06:35,1.273s,PASSED
delay,,,2018-11-19 13:06:35,2018-11-19 13:06:36,1.095s,PASSED
hideKeyboard,,Hide keyboard on phone,2018-11-19 13:06:36,2018-11-19 13:06:38,2.417s,PASSED
tap,,Submit form dan redirect ke homepage,2018-11-19 13:06:38,2018-11-19 13:06:40,1.694s,PASSED
delay,,,2018-11-19 13:06:40,2018-11-19 13:06:45,5.005s,PASSED
,,,,,,
Test Cases/Mobile/Android/Order/SC99 Regression/TC01 My Order,,,2018-11-19 13:06:45,2018-11-19 13:06:52,7.220s,PASSED
callTestCase,,,2018-11-19 13:06:46,2018-11-19 13:06:46,0.010s,NOT_RUN
tap,,Menampilkan page my order,2018-11-19 13:06:46,2018-11-19 13:06:47,1.499s,PASSED
delay,,,2018-11-19 13:06:47,2018-11-19 13:06:52,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Order/SC99 Regression/TC02 Search - My Order,,,2018-11-19 13:06:52,2018-11-19 13:07:03,11.320s,PASSED
callTestCase,,,2018-11-19 13:06:53,2018-11-19 13:06:53,0.003s,NOT_RUN
setText,,Input customer name,2018-11-19 13:06:53,2018-11-19 13:06:55,1.849s,PASSED
tap,,Search by name,2018-11-19 13:06:55,2018-11-19 13:06:56,1.557s,PASSED
tap,,Select my order,2018-11-19 13:06:56,2018-11-19 13:06:58,2.355s,PASSED
delay,,,2018-11-19 13:06:58,2018-11-19 13:07:03,5.002s,PASSED
,,,,,,
Test Cases/Mobile/Android/Order/SC99 Regression/TC10 Return Car,,,2018-11-19 13:07:03,2018-11-19 13:07:11,7.459s,PASSED
callTestCase,,,2018-11-19 13:07:04,2018-11-19 13:07:04,0.004s,NOT_RUN
tap,,Tap return the car,2018-11-19 13:07:04,2018-11-19 13:07:06,1.875s,PASSED
delay,,,2018-11-19 13:07:06,2018-11-19 13:07:11,5.004s,PASSED
