Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reservation From Click Show More at Section Popular Destination,,,2019-02-15 14:09:54,2019-02-15 14:11:31,1m - 36.694s,FAILED
,,,,,,
Test Cases/Mobile/Android/User/SC99 Regression/TC04 Login with email,,,2019-02-15 14:09:55,2019-02-15 14:11:25,1m - 30.518s,FAILED
"startApplication(""C:\Users\WGS-LAP151\Downloads\Movic_1.2.0_2019-02-04-stable-debug.apk"", false)",,Open apps on phone,2019-02-15 14:09:56,2019-02-15 14:11:25,1m - 29.272s,FAILED
,,,,,,
Test Cases/Mobile/Android/Homepage/SC99 Regression/TC09 Show List Car By Click Show More Popular Destination,,,2019-02-15 14:11:25,2019-02-15 14:11:26,0.864s,FAILED
"callTestCase(findTestCase(""Mobile/Android/User/SC99 Regression/TC04 Login with email""), [:], STOP_ON_FAILURE)",,Call test case login,2019-02-15 14:11:26,2019-02-15 14:11:26,0.000s,NOT_RUN
"scrollToText(""Popular Destinations"", STOP_ON_FAILURE)",,Scroll to text popular destinations,2019-02-15 14:11:26,2019-02-15 14:11:26,0.015s,NOT_RUN
"tap(findTestObject(""Mobile/OR Homepage/android.widget.TextView6 - Show more""), 0)",,Show more popular destinations,2019-02-15 14:11:26,2019-02-15 14:11:26,0.224s,FAILED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC15 Select car from list cars,,,2019-02-15 14:11:26,2019-02-15 14:11:27,0.610s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Homepage/SC99 Regression/TC01 Search car use search bar rental city atau region""), [:], STOP_ON_FAILURE)",,Call test case search car use search bar renal city atau region,2019-02-15 14:11:27,2019-02-15 14:11:27,0.015s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.support.v4.view.ViewPager0""), 0)",,Select car yang ada di list of cars,2019-02-15 14:11:27,2019-02-15 14:11:27,0.000s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.widget.Button0 - Check Packages""), 0)",,Check packages,2019-02-15 14:11:27,2019-02-15 14:11:27,0.016s,FAILED
,,,,,,
Test Cases/Mobile/Android/Booking/SC99 Regression/TC09 Rules,,,2019-02-15 14:11:27,2019-02-15 14:11:28,0.803s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Booking/SC99 Regression/TC15 Select car from list cars""), [:], STOP_ON_FAILURE)",,Call test case select car from list cars,2019-02-15 14:11:28,2019-02-15 14:11:28,0.004s,NOT_RUN
"tap(findTestObject(""Mobile/OR Booking/android.widget.TextView - CANCELLATION POLICY""), 0)",,Menampilkan informasi yang ada di tab cancellation policy,2019-02-15 14:11:28,2019-02-15 14:11:28,0.015s,FAILED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC01 Pay - Payment,,,2019-02-15 14:11:28,2019-02-15 14:11:28,0.875s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Booking/SC99 Regression/TC09 Rules""), [:], STOP_ON_FAILURE)",,Call test case rules,2019-02-15 14:11:28,2019-02-15 14:11:28,0.000s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.ImageView2""), 0)",,,2019-02-15 14:11:28,2019-02-15 14:11:28,0.000s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.Button1 - Pay""), 0)",,Mulai melakukan pembayaran,2019-02-15 14:11:28,2019-02-15 14:11:28,0.063s,FAILED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC04 Select payment method,,,2019-02-15 14:11:28,2019-02-15 14:11:29,0.712s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Payment/SC99 Regression/TC01 Pay - Payment""), [:], STOP_ON_FAILURE)",,Call test case pay - payment,2019-02-15 14:11:29,2019-02-15 14:11:29,0.003s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.FrameLayout3""), 0)",,Menampilkan option payment,2019-02-15 14:11:29,2019-02-15 14:11:29,0.014s,FAILED
,,,,,,
Test Cases/Mobile/Android/Payment/SC99 Regression/TC05 Credit card payment,,,2019-02-15 14:11:29,2019-02-15 14:11:30,0.743s,FAILED
"callTestCase(findTestCase(""Mobile/Android/Payment/SC99 Regression/TC04 Select payment method""), [:], STOP_ON_FAILURE)",,Call test case select payment method,2019-02-15 14:11:30,2019-02-15 14:11:30,0.005s,NOT_RUN
"tap(findTestObject(""Mobile/OR Payment/android.widget.FrameLayout3 (1)""), 0)",,Pilih metode pembayaran credit card,2019-02-15 14:11:30,2019-02-15 14:11:30,0.015s,FAILED
