Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Reservasi mobil dengan tambahan asuransi melalui pencarian lebih lanjut di homepage,Chrome 70.0.3538.102,,2018-11-13 15:59:32,2018-11-13 16:01:52,2m - 20.192s,PASSED
,,,,,,
Test Cases/Front-End/User/SC99 Regression/TC04 Login Biasa with email,Chrome 70.0.3538.102,,2018-11-13 15:59:32,2018-11-13 16:00:54,1m - 21.162s,PASSED
openBrowser,Chrome 70.0.3538.102,Buka browser,2018-11-13 15:59:33,2018-11-13 16:00:02,28.532s,PASSED
maximizeWindow,Chrome 70.0.3538.102,Maximize window,2018-11-13 16:00:02,2018-11-13 16:00:03,1.445s,PASSED
navigateToUrl,Chrome 70.0.3538.102,Akses Url,2018-11-13 16:00:03,2018-11-13 16:00:42,38.846s,PASSED
waitForPageLoad,Chrome 70.0.3538.102,,2018-11-13 16:00:42,2018-11-13 16:00:42,0.311s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 16:00:42,2018-11-13 16:00:43,0.744s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:00:43,2018-11-13 16:00:45,2.105s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 16:00:45,2018-11-13 16:00:46,0.790s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:00:46,2018-11-13 16:00:48,2.012s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-13 16:00:48,2018-11-13 16:00:48,0.331s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:00:48,2018-11-13 16:00:50,2.011s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 16:00:50,2018-11-13 16:00:51,0.453s,PASSED
verifyElementVisible,Chrome 70.0.3538.102,"Verifikasi popup ""Success"" Visible",2018-11-13 16:00:51,2018-11-13 16:00:52,0.706s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:00:52,2018-11-13 16:00:54,2.008s,PASSED
,,,,,,
Test Cases/Front-End/Homepage/SC99 Regression/TC02 Cari mobil menggunakan fitur pencarian lebih lanjut,Chrome 70.0.3538.102,,2018-11-13 16:00:54,2018-11-13 16:01:28,34.359s,PASSED
setText,Chrome 70.0.3538.102,Masukkan Field Search,2018-11-13 16:00:55,2018-11-13 16:00:57,2.449s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:00:57,2018-11-13 16:00:59,2.009s,PASSED
click,Chrome 70.0.3538.102,Pilih Opsi Kota,2018-11-13 16:00:59,2018-11-13 16:01:00,0.437s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:00,2018-11-13 16:01:02,2.009s,PASSED
click,Chrome 70.0.3538.102,Pilih Tanggal Awal,2018-11-13 16:01:02,2018-11-13 16:01:02,0.347s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:02,2018-11-13 16:01:04,2.012s,PASSED
click,Chrome 70.0.3538.102,Pilih Tanggal Akhir,2018-11-13 16:01:04,2018-11-13 16:01:04,0.251s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:04,2018-11-13 16:01:06,2.010s,PASSED
click,Chrome 70.0.3538.102,Pilih Car Only,2018-11-13 16:01:06,2018-11-13 16:01:07,0.410s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:07,2018-11-13 16:01:09,2.010s,PASSED
click,Chrome 70.0.3538.102,Klik Button Pencarian Lebih lanjut,2018-11-13 16:01:09,2018-11-13 16:01:09,0.230s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:09,2018-11-13 16:01:11,2.008s,PASSED
setText,Chrome 70.0.3538.102,Input Harga Start,2018-11-13 16:01:11,2018-11-13 16:01:11,0.289s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:11,2018-11-13 16:01:13,2.009s,PASSED
setText,Chrome 70.0.3538.102,Input Harga Akhir,2018-11-13 16:01:13,2018-11-13 16:01:13,0.249s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:13,2018-11-13 16:01:13,0.002s,NOT_RUN
click,Chrome 70.0.3538.102,Pilih Plat Nomor 'Genap',2018-11-13 16:01:13,2018-11-13 16:01:13,0.001s,NOT_RUN
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:13,2018-11-13 16:01:15,2.007s,PASSED
click,Chrome 70.0.3538.102,Pilih Fasilitas 'Car Insurance',2018-11-13 16:01:15,2018-11-13 16:01:16,0.220s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:16,2018-11-13 16:01:18,2.008s,PASSED
click,Chrome 70.0.3538.102,Pilih Rating 5,2018-11-13 16:01:18,2018-11-13 16:01:18,0.377s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:18,2018-11-13 16:01:20,2.008s,PASSED
click,Chrome 70.0.3538.102,Klik button Cari,2018-11-13 16:01:20,2018-11-13 16:01:21,0.476s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:21,2018-11-13 16:01:23,2.006s,PASSED
click,Chrome 70.0.3538.102,,2018-11-13 16:01:23,2018-11-13 16:01:23,0.425s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:23,2018-11-13 16:01:28,5.006s,PASSED
,,,,,,
Test Cases/Front-End/Booking/SC99 Regression/TC03 Input manfaat tambahan di reservasi,Chrome 70.0.3538.102,,2018-11-13 16:01:28,2018-11-13 16:01:50,21.596s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:29,2018-11-13 16:01:31,2.004s,PASSED
scrollToPosition,Chrome 70.0.3538.102,Scroll kebawah,2018-11-13 16:01:31,2018-11-13 16:01:31,0.071s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-13 16:01:31,2018-11-13 16:01:33,2.003s,PASSED
click,Chrome 70.0.3538.102,Klik Pilih Paket pada salah satu Paket,2018-11-13 16:01:33,2018-11-13 16:01:33,0.315s,PASSED
